Course Title,Rating,Provider,Level,Reviews,Type,Duration / Weeks
Technical Support Fundamentals,4.8,Google,Beginner,152000.0,Course,4 - 12
IBM Front-End Developer,4.6,IBM,Beginner,3400.0,Professional Certificate,12 - 24
IBM IT Project Manager,4.7,IBM,Beginner,4800.0,Professional Certificate,12 - 24
Business and Financial Modeling,4.5,University of Pennsylvania,Beginner,11000.0,Specialization,12 - 24
Meta React Native,4.6,Meta,Beginner,9100.0,Specialization,12 - 24
IBM Business Intelligence (BI) Analyst,4.7,IBM,Beginner,11000.0,Professional Certificate,12 - 24
Intuit Academy Bookkeeping,4.6,Intuit,Beginner,6200.0,Professional Certificate,12 - 24
IBM and ISC2 Cybersecurity Specialist,4.7,Multiple educators,Beginner,10000.0,Professional Certificate,12 - 24
AI Foundations for Everyone,4.7,IBM,Beginner,17000.0,Specialization,12 - 24
IBM iOS and Android Mobile App Developer,4.6,IBM,Beginner,3100.0,Professional Certificate,12 - 24
Generative AI for Everyone,4.8,DeepLearning.AI,Beginner,2000.0,Course,1 - 4
Meta Back-End Developer,4.6,Meta,Beginner,8000.0,Professional Certificate,12 - 24
Meta Android Developer,4.6,Meta,Beginner,7200.0,Professional Certificate,12 - 24
Ask Questions to Make Data-Driven Decisions,4.7,Google,Beginner,32000.0,Course,1 - 4
Meta iOS Developer,4.6,Meta,Beginner,6900.0,Professional Certificate,12 - 24
Play It Safe: Manage Security Risks,4.8,Google,Beginner,7200.0,Course,1 - 4
Natural Language Processing,4.6,DeepLearning.AI,Intermediate,5800.0,Specialization,12 - 24
IBM IT Scrum Master,4.8,IBM,Beginner,6000.0,Professional Certificate,12 - 24
Project Initiation: Starting a Successful Project,4.8,Google,Beginner,21000.0,Course,1 - 4
Financial Markets,4.8,Yale University,Beginner,28000.0,Course,4 - 12
SAP Technology Consultant,4.7,SAP,Beginner,872.0,Professional Certificate,12 - 24
Generative AI for Data Scientists,4.7,IBM,Intermediate,1700.0,Specialization,4 - 12
